Customer_ID,Age,Gender,Marital_Status,Dependents,Education,Employment_Status,Annual_Income,Loan_Amount,Loan_Term,Credit_History,Property_Area,Existing_Loan,Debt_to_Income_Ratio,Late_Payments,Loan_Default
CUST1000,59,Female,Widowed,2,Graduate,Self-employed,1436460,303390,12,1.0,Urban,1,0.49,1,0
CUST1001,49,Male,Married,3,Graduate,Employed,814113,220947,36,1.0,Rural,1,0.17,1,0
CUST1002,35,Female,Married,1,Not Graduate,Unemployed,992415,226221,60,1.0,Urban,0,0.17,0,1
CUST1003,63,Female,Divorced,1,Not Graduate,Self-employed,528773,129369,60,1.0,Urban,0,0.12,2,0
CUST1004,28,Female,Widowed,2,Not Graduate,Unemployed,1318901,319719,24,1.0,Urban,0,0.65,0,1
CUST1005,41,Female,Married,0,Not Graduate,Employed,1034311,400451,48,0.0,Semiurban,0,0.46,1,1
CUST1006,59,Female,Divorced,2,Graduate,Employed,877233,144265,36,1.0,Rural,0,0.32,0,0
CUST1007,39,Male,Married,1,Graduate,Employed,1262908,216852,12,0.0,Semiurban,0,0.57,2,1
CUST1008,43,Male,Widowed,0,Not Graduate,Self-employed,871924,138383,60,0.0,Urban,0,0.48,2,1
CUST1009,31,Female,Single,3,Not Graduate,Unemployed,1356292,513890,36,1.0,Rural,0,0.47,2,1
CUST1010,31,Male,Widowed,1,Not Graduate,Self-employed,613742,337076,48,1.0,Rural,0,0.39,1,0
CUST1011,44,Female,Widowed,3,Not Graduate,Self-employed,920841,302020,36,1.0,Urban,1,0.1,1,0
CUST1012,56,Female,Married,0,Graduate,Self-employed,1073081,268247,48,1.0,Semiurban,1,0.26,0,0
CUST1013,60,Male,Married,3,Not Graduate,Self-employed,221643,98966,36,1.0,Urban,1,0.17,3,1
CUST1014,44,Male,Widowed,1,Not Graduate,Unemployed,263128,545911,24,1.0,Semiurban,0,0.5,1,1
CUST1015,23,Male,Divorced,2,Graduate,Unemployed,766811,95580,36,1.0,Urban,1,0.25,1,1
CUST1016,42,Male,Divorced,3,Not Graduate,Self-employed,666606,292788,72,1.0,Rural,0,0.37,0,0
CUST1017,22,Male,Divorced,1,Graduate,Self-employed,1301360,221162,24,N/A,Rural,0,0.31,1,0
CUST1018,44,Female,Married,1,Not Graduate,Employed,1074325,420257,48,1.0,Semiurban,0,0.19,2,0
CUST1019,64,Male,Married,0,Not Graduate,Employed,1046133,338343,60,1.0,Urban,0,0.68,1,1
CUST1020,50,Male,Widowed,1,Graduate,Unemployed,1222225,534993,60,0.0,Semiurban,1,0.66,1,1
CUST1021,58,Male,Single,2,Not Graduate,Employed,1357578,225231,36,1.0,Rural,1,0.15,0,0
CUST1022,22,Female,Married,2,Graduate,Unemployed,884764,586976,12,1.0,Rural,0,0.6,0,1
CUST1023,41,Male,Widowed,3,Graduate,Unemployed,217401,306738,36,1.0,Semiurban,1,0.39,2,1
CUST1024,53,Female,Widowed,3,Graduate,Unemployed,1088390,140640,24,0.0,Semiurban,1,0.56,0,1
CUST1025,32,Male,Single,3,Not Graduate,Employed,444373,540021,24,1.0,Semiurban,0,0.19,0,0
CUST1026,42,Male,Divorced,3,Not Graduate,Employed,1360622,134732,48,1.0,Semiurban,1,0.18,0,0
CUST1027,64,Female,Widowed,2,Graduate,Unemployed,1224757,283403,36,1.0,Semiurban,1,0.63,0,1
CUST1028,45,Male,Widowed,0,Not Graduate,Unemployed,706911,196031,48,0.0,Urban,1,0.64,0,1
CUST1029,47,Male,Widowed,3,Not Graduate,Self-employed,550162,212352,12,0.0,Semiurban,0,0.38,1,1
CUST1030,62,Female,Divorced,0,Not Graduate,Unemployed,454572,536676,60,1.0,Semiurban,1,0.62,1,1
CUST1031,48,Male,Divorced,1,Graduate,Unemployed,1203008,487474,60,0.0,Rural,1,0.5,2,1
CUST1032,36,Female,Single,1,Graduate,Self-employed,740853,307046,36,1.0,Rural,0,0.21,0,0
CUST1033,35,Female,Married,3,Not Graduate,Unemployed,731117,208539,48,1.0,Urban,1,0.3,0,1
CUST1034,64,Female,Divorced,1,Graduate,Unemployed,1324599,459272,48,0.0,Semiurban,1,0.18,0,1
CUST1035,23,Female,Married,0,Not Graduate,Unemployed,1215665,577423,12,1.0,Semiurban,0,0.56,0,1
CUST1036,57,Female,Married,0,Not Graduate,Self-employed,1225799,375402,48,1.0,Rural,0,0.69,1,1
CUST1037,27,Male,Divorced,1,Not Graduate,Employed,281823,153813,72,1.0,Rural,1,0.43,0,0
CUST1038,41,Male,Widowed,3,Graduate,Unemployed,763229,106682,72,0.0,Rural,0,0.49,1,1
CUST1039,29,Male,Single,0,Graduate,Self-employed,975469,577016,24,0.0,Semiurban,1,0.55,0,1
CUST1040,59,Female,Married,0,Not Graduate,Unemployed,897819,454100,72,0.0,Semiurban,0,0.23,1,1
CUST1041,38,Female,Widowed,2,Graduate,Self-employed,1097971,427236,72,1.0,Urban,0,0.3,3,1
CUST1042,24,Female,Divorced,3,Not Graduate,Unemployed,672415,413321,24,0.0,Rural,0,0.35,1,1
CUST1043,45,Female,Married,2,Graduate,Self-employed,733464,479252,72,1.0,Rural,1,0.46,2,0
CUST1044,34,Male,Married,1,Graduate,Employed,457505,134614,72,1.0,Rural,1,0.61,1,1
CUST1045,29,Male,Married,1,Graduate,Employed,1037948,269832,24,0.0,Rural,0,0.25,0,1
CUST1046,46,Female,Widowed,2,Not Graduate,Employed,870432,436564,36,1.0,Rural,0,0.38,0,0
CUST1047,22,Female,Widowed,3,Not Graduate,Unemployed,349671,391574,24,1.0,Semiurban,1,0.55,0,1
CUST1048,40,Male,Widowed,0,Not Graduate,Self-employed,1330621,76965,24,1.0,Semiurban,0,0.15,1,0
CUST1049,48,Female,Married,1,Graduate,Unemployed,366460,546368,72,1.0,Rural,0,0.41,3,1
CUST1050,27,Female,Married,3,Not Graduate,Unemployed,581047,487161,60,1.0,Rural,0,0.19,2,1
CUST1051,64,Female,Single,3,Not Graduate,Self-employed,774891,172194,72,1.0,Semiurban,1,0.42,0,0
CUST1052,28,Male,Single,1,Not Graduate,Unemployed,487933,238151,36,1.0,Semiurban,1,0.56,3,1
CUST1053,55,Male,Widowed,1,Not Graduate,Self-employed,932792,179335,24,1.0,Urban,0,0.24,0,0
CUST1054,34,Female,Widowed,3,Graduate,Self-employed,680683,491926,12,1.0,Semiurban,0,0.61,0,1
CUST1055,37,Male,Divorced,0,Graduate,Employed,1075055,312677,24,1.0,Urban,1,0.3,1,0
CUST1056,56,Female,Widowed,2,Not Graduate,Employed,682505,363114,36,1.0,Rural,1,0.21,0,0
CUST1057,60,Female,Single,1,Graduate,Employed,1447454,330869,48,1.0,Rural,0,0.38,0,0
CUST1058,24,Male,Single,2,Graduate,Self-employed,1209131,114367,72,0.0,Rural,0,0.63,2,1
CUST1059,22,Female,Single,3,Graduate,Employed,1028426,384374,60,1.0,Semiurban,0,0.14,0,0
CUST1060,26,Female,Married,2,Graduate,Self-employed,1461244,142534,60,1.0,Semiurban,1,0.3,0,0
CUST1061,62,Male,Married,0,Graduate,Unemployed,1487679,414993,72,0.0,Rural,0,0.49,2,1
CUST1062,24,Female,Widowed,3,Not Graduate,Employed,569453,485644,72,1.0,Rural,1,0.31,1,0
CUST1063,49,Female,Divorced,0,Graduate,Self-employed,1371765,116771,36,0.0,Urban,0,0.14,3,1
CUST1064,38,Female,Divorced,3,Not Graduate,Self-employed,291123,224746,24,1.0,Semiurban,0,0.3,1,0
CUST1065,46,Male,Divorced,0,Not Graduate,Self-employed,907923,289276,12,1.0,Semiurban,0,0.59,1,1
CUST1066,64,Female,Married,3,Not Graduate,Self-employed,935712,147519,24,1.0,Urban,1,0.68,2,1
CUST1067,54,Male,Single,0,Graduate,Employed,1466488,532791,24,1.0,Rural,1,0.12,2,0
CUST1068,30,Female,Single,3,Graduate,Employed,790940,277024,12,0.0,Rural,0,0.44,2,1
